0.38	   2.3261000e-01  -1.5990000e-02   1.3925000e-01  -4.2583000e-01  -4.0556000e-01   2.9653000e-01   8.2252000e-01
0.39	   2.3204000e-01  -1.5460000e-02   1.4129000e-01  -4.2431000e-01  -4.0315000e-01   2.9644000e-01   8.2094000e-01
0.4	   2.3145000e-01  -1.4900000e-02   1.4341000e-01  -4.2271000e-01  -4.0063000e-01   2.9636000e-01   8.1928000e-01
0.41	   2.3084000e-01  -1.4310000e-02   1.4560000e-01  -4.2102000e-01  -3.9799000e-01   2.9628000e-01   8.1754000e-01
0.42	   2.3021000e-01  -1.3690000e-02   1.4787000e-01  -4.1925000e-01  -3.9525000e-01   2.9620000e-01   8.1573000e-01
0.43	   2.2956000e-01  -1.3050000e-02   1.5020000e-01  -4.1739000e-01  -3.9239000e-01   2.9613000e-01   8.1384000e-01
0.44	   2.2889000e-01  -1.2370000e-02   1.5260000e-01  -4.1544000e-01  -3.8942000e-01   2.9606000e-01   8.1186000e-01
0.45	   2.2819000e-01  -1.1670000e-02   1.5507000e-01  -4.1340000e-01  -3.8634000e-01   2.9601000e-01   8.0981000e-01
0.46	   2.2748000e-01  -1.0940000e-02   1.5760000e-01  -4.1127000e-01  -3.8314000e-01   2.9596000e-01   8.0768000e-01
0.47	   2.2675000e-01  -1.0170000e-02   1.6020000e-01  -4.0905000e-01  -3.7983000e-01   2.9593000e-01   8.0546000e-01
0.48	   2.2601000e-01  -9.3800000e-03   1.6286000e-01  -4.0672000e-01  -3.7640000e-01   2.9590000e-01   8.0316000e-01
0.49	   2.2524000e-01  -8.5500000e-03   1.6557000e-01  -4.0431000e-01  -3.7286000e-01   2.9588000e-01   8.0078000e-01
0.5	   2.2446000e-01  -7.6900000e-03   1.6834000e-01  -4.0179000e-01  -3.6921000e-01   2.9588000e-01   7.9832000e-01
0.51	   2.2366000e-01  -6.8000000e-03   1.7117000e-01  -3.9917000e-01  -3.6543000e-01   2.9590000e-01   7.9577000e-01
0.52	   2.2285000e-01  -5.8700000e-03   1.7404000e-01  -3.9645000e-01  -3.6155000e-01   2.9592000e-01   7.9315000e-01
0.53	   2.2202000e-01  -4.9100000e-03   1.7697000e-01  -3.9363000e-01  -3.5754000e-01   2.9597000e-01   7.9044000e-01
0.54	   2.2117000e-01  -3.9200000e-03   1.7993000e-01  -3.9071000e-01  -3.5343000e-01   2.9603000e-01   7.8765000e-01
0.55	   2.2032000e-01  -2.8900000e-03   1.8294000e-01  -3.8768000e-01  -3.4920000e-01   2.9611000e-01   7.8478000e-01
0.56	   2.1945000e-01  -1.8300000e-03   1.8598000e-01  -3.8455000e-01  -3.4485000e-01   2.9621000e-01   7.8182000e-01
